question_text,option_a,option_b,option_c,correct_answer,difficulty
"Which team won the Bundesliga in 2022-23?","Borussia Dortmund","Bayern Munich","RB Leipzig","B","easy"
"How many World Cups has Italy won?","3","4","5","B","medium"
"Which country hosted the 1978 FIFA World Cup?","Argentina","Spain","Mexico","A","medium"
"Which Premier League club is Paolo Di Canio most associated with?","West Ham","Chelsea","Arsenal","A","easy"
"Which country hosted the 1950 FIFA World Cup?","Brazil","Switzerland","Sweden","A","hard"
"Which country won the 2022 FIFA World Cup?","Argentina","France","Brazil","A","easy"
"Who scored the winning goal in the 2011-12 title decider for Man City?","Carlos Tevez","Sergio Aguero","Yaya Toure","B","easy"
"How many La Liga titles did Barcelona win under Pep Guardiola?","2","3","4","B","medium"
"Who scored the winning penalty in the 2022 World Cup final?","Lionel Messi","Gonzalo Montiel","Kylian Mbappe","B","medium"
"Which country hosted the 1962 FIFA World Cup?","Chile","England","Mexico","A","hard"
"Which country hosted the 2018 FIFA World Cup?","Russia","Qatar","Italy","A","medium"
"Which team plays at the San Siro stadium?","Juventus","AC Milan and Inter Milan","Napoli","B","easy"
"Which club has won the most Premier League titles?","Liverpool","Chelsea","Manchester United","C","easy"
"Which player won the most Serie A Player of the Year awards?","Paolo Maldini","Francesco Totti","Alessandro Del Piero","B","hard"
"Who is the youngest player to score in a World Cup final?","Kylian Mbappe","Pele","Michael Owen","B","medium"
"How many goals did Erling Haaland score on his Premier League debut?","1","2","3","B","medium"
"Which country hosted the 1958 FIFA World Cup?","Sweden","Chile","England","A","hard"
"Who scored a hat-trick in the 1999 Champions League final?","No one scored a hat-trick","Teddy Sheringham","Ole Gunnar Solskjaer","A","hard"
"Who managed Borussia Dortmund to their 2011 and 2012 titles?","Thomas Tuchel","Jurgen Klopp","Lucien Favre","B","easy"
"What is the home stadium of Aston Villa?","Villa Park","Emirates Stadium","Stamford Bridge","A","medium"
"How many Premier League titles did Chelsea win under Jose Mourinho?","2","3","4","B","medium"
"Who scored the most goals in a single calendar year?","Cristiano Ronaldo","Lionel Messi","Gerd Muller","B","medium"
"Which country did Samuel Eto'o represent internationally?","Nigeria","Senegal","Cameroon","C","easy"
"What is the home stadium of Everton?","Goodison Park","Emirates Stadium","Stamford Bridge","A","medium"
"Who won the Golden Ball at the 2022 World Cup?","Kylian Mbappe","Lionel Messi","Luka Modric","B","easy"
"Which country won the first ever FIFA World Cup in 1930?","Brazil","Argentina","Uruguay","C","medium"
"Which player is nicknamed 'The Flea'?","Neymar","Lionel Messi","Eden Hazard","B","easy"
"Which English club won the Champions League in 2012?","Manchester United","Liverpool","Chelsea","C","medium"
"Who scored the fastest goal in World Cup history?","Hakan Sukur","Vaclav Masek","Ernst Lehner","A","hard"
"In which country was the 2010 World Cup held?","South Africa","Germany","Brazil","A","easy"
"Which stadium is known as 'The Theatre of Dreams'?","Anfield","Old Trafford","Emirates Stadium","B","medium"
"How many goals has Cristiano Ronaldo scored in his career?","Over 700","Over 800","Over 900","B","medium"
"Which country will host the 2026 FIFA World Cup?","USA, Canada, Mexico","Australia","Morocco","A","medium"
"Who scored the winning goal in the 2019 Champions League final?","Sadio Mane","Mohamed Salah","Divock Origi","C","hard"
"What is the home stadium of Nottingham Forest?","City Ground","Emirates Stadium","Stamford Bridge","A","medium"
"Which player has the most Premier League assists?","Ryan Giggs","Kevin De Bruyne","Cesc Fabregas","A","medium"
"Which team did Barcelona beat 4-0 in the 2011 Champions League final?","Chelsea","Manchester United","Arsenal","B","medium"
"Who managed Leicester City to their Premier League title in 2016?","Brendan Rodgers","Claudio Ranieri","Nigel Pearson","B","easy"
"Who was the captain of France's 1998 World Cup winning team?","Zinedine Zidane","Didier Deschamps","Laurent Blanc","B","medium"
"Which country has won the most FIFA World Cups?","Germany","Brazil","Italy","B","easy"
"Which country hosted the 2006 FIFA World Cup?","Germany","South Africa","Brazil","A","medium"
"What number did Andrea Pirlo wear at Juventus?","10","21","6","B","easy"
"Who won the CAF Player of the Year 2022?","Mohamed Salah","Sadio Mane","Riyad Mahrez","B","medium"
"What is the home stadium of Sheffield United?","Bramall Lane","Emirates Stadium","Stamford Bridge","A","medium"
"Which Premier League club is Kevin De Bruyne most associated with?","Manchester City","Manchester United","Arsenal","A","easy"
"What is the record for most goals in a single Champions League season?","14","17","12","B","hard"
"Who won the Premier League Golden Boot in 2022-23?","Erling Haaland","Harry Kane","Ivan Toney","A","medium"
"Which country hosted the 1954 FIFA World Cup?","Switzerland","Sweden","Chile","A","hard"
"How much did Manchester City pay for Jack Grealish?","100 million pounds","80 million pounds","120 million pounds","A","medium"
"Which Premier League club is Virgil van Dijk most associated with?","Liverpool","Manchester City","Chelsea","A","easy"
"In which year was the Premier League founded?","1990","1992","1994","B","medium"
"How many Olympic gold medals did Michael Phelps win?","18","23","28","B","medium"
"What is the maximum number of players a team can name in their squad?","23","25","30","B","easy"
"Which country does Jude Bellingham represent internationally?","England","France","Spain","A","easy"
"How many World Cups did Pele win?","2","3","4","B","medium"
"Who managed Real Madrid to three consecutive Champions League titles?","Jose Mourinho","Carlo Ancelotti","Zinedine Zidane","C","medium"
"Which country hosted the 1938 FIFA World Cup?","France","Brazil","Switzerland","A","hard"
"Which English club did George Best play for?","Liverpool","Manchester United","Chelsea","B","medium"
"In which year did Atletico Madrid last win La Liga?","2014","2021","2018","B","medium"
"What is the Old Firm derby?","Celtic vs Rangers","Hearts vs Hibernian","Aberdeen vs Dundee","A","easy"
"Who scored 36 goals for Napoli in 2022-23 Serie A?","Khvicha Kvaratskhelia","Victor Osimhen","Giacomo Raspadori","B","medium"
"What formation did Pep Guardiola's Barcelona famously use?","4-3-3","4-4-2","3-5-2","A","medium"
"Which club does Vinicius Jr currently play for?","Real Madrid","Chelsea","Manchester United","A","easy"
"Which African country reached the World Cup semi-finals in 2022?","Senegal","Morocco","Cameroon","B","easy"
