questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Which team won the Bundesliga in 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,B,easy,?gb?? wo ló gba Bundesliga ní ?dún 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,Wace ?ungiya ce ta lashe gasar Bundesliga a shekarar 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,Ked? otu nd? meriri Bundesliga n'af? 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig
How many World Cups has Italy won?,3,4,5,B,medium,Àw?n ife-?y? àgbáyé mélòó ni Ítálì ti gbà?,3,4,5,Nawa ne gasar cin kofin duniya ta Italiya ta lashe?,3,4,5,Mba Itali emeriela iko mba ?wa ole?,3,4,5
Which country hosted the 1978 FIFA World Cup?,Argentina,Spain,Mexico,A,medium,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ?dún 1978?,Argentina,Spain,Mexico,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1978?,Argentina,Spain,Mexico,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1978?,Argentina,Spain,Mexico
Which Premier League club is Paolo Di Canio most associated with?,West Ham,Chelsea,Arsenal,A,easy,?gb?? Premier League wo ni Paolo Di Canio ti ?e àj?p?? jùl? p??lú?,West Ham,Chelsea,Arsenal,Wace ?ungiyar Premier League ce Paolo Di Canio ya fi sha'awarta?,West Ham,Chelsea,Arsenal,Ked? otu egwuregwu Premier League kacha amas? Paolo Di Canio?,West Ham,Chelsea,Arsenal
Which country hosted the 1950 FIFA World Cup?,Brazil,Switzerland,Sweden,A,hard,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 1950?,Brazil,Switzerland,Sweden,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1950?,Brazil,Switzerland,Sweden,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1950?,Brazil,Switzerland,Sweden
Which country won the 2022 FIFA World Cup?,Argentina,France,Brazil,A,easy,Oríl??-èdè wo ló gba ife-??y? àgbáyé FIFA ti ?dún 2022?,Argentina,France,Brazil,Wace ?asa ce ta lashe gasar cin kofin duniya ta FIFA ta 2022?,Argentina,France,Brazil,Ked? mba meriri iko mba ?wa nke FIFA nke af? 2022?,Argentina,France,Brazil
Who scored the winning goal in the 2011-12 title decider for Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure,B,easy,Ta ló gba góòlù tó gba àmì-??y? náà ní ìdíje 2011-12 fún Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure,Wa ya ci wa Man City kwallon da ta lashe gasar 2011-12?,Carlos Tevez,Sergio Aguero,Yaya Toure,Ònye nyere goolu mmeri na 2011-12 maka Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure
How many La Liga titles did Barcelona win under Pep Guardiola?,2,3,4,B,medium,Àw?n oyè La Liga mélòó ni Barcelona gbà láb?? Pep Guardiola?,2,3,4,Kofin La Liga nawa Barcelona ta lashe a karkashin Pep Guardiola?,2,3,4,Ked? iko La Liga ole ka Barcelona meriri n'oge Pep Guardiola?,2,3,4
Who scored the winning penalty in the 2022 World Cup final?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,B,medium,Ta ló gba ìjìyà tó jáwé olúborí ní ìparí ìdíje World Cup 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,Wa ya zura kwallon da ta yi nasara a wasan karshe na gasar cin kofin duniya ta 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,Ònye nyere penariti mmeri na as?mpi ikpeaz? nke iko mba ?wa nke af? 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe
Which country hosted the 1962 FIFA World Cup?,Chile,England,Mexico,A,hard,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 1962?,Chile,England,Mexico,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1962?,Chile,England,Mexico,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1962?,Chile,England,Mexico
Which country hosted the 2018 FIFA World Cup?,Russia,Qatar,Italy,A,medium,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 2018?,Russia,Qatar,Italy,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 2018?,Russia,Qatar,Italy,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 2018?,Russia,Qatar,Italy
Which team plays at the San Siro stadium?,Juventus,AC Milan and Inter Milan,Napoli,B,easy,?gb?? wo ló ? gbá b????lù ní pápá ì?eré San Siro?,Juventus,AC Milan and Inter Milan,Napoli,Wace ?ungiya ce ke buga wasa a filin wasa na San Siro?,Juventus,AC Milan and Inter Milan,Napoli,Ked? otu egwuregwu na-egwu n'ámá egwuregwu San Siro?,Juventus,AC Milan and Inter Milan,Napoli
Which club has won the most Premier League titles?,Liverpool,Chelsea,Manchester United,C,easy,?gb?? wo ló ti gba àw?n àmì-??y? Premier League tó p?? jùl??,Liverpool,Chelsea,Manchester United,Wace ?ungiya ce ta fi lashe gasar Premier?,Liverpool,Chelsea,Manchester United,Ked? kl?b nd? meriri ?t?t? iko Premier League?,Liverpool,Chelsea,Manchester United
Which player won the most Serie A Player of the Year awards?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,B,hard,Èwo ni ó gba àmì ??y? tó p?? jùl? fún àw?n tó gba ??bùn fún ??r? orin tó dára jùl? ní Serie A?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,Wane ?an wasa ne ya fi lashe kyautar ?an wasan shekara ta Serie A?,Paolo Maldini,Francesco Totti,Alessandro Del Piero,Ked? onye egwuregwu meriri ihe nrite kachas? na Serie A Player of the Year?,Paolo Maldini,Francesco Totti,Alessandro Del Piero
Who is the youngest player to score in a World Cup final?,Kylian Mbappe,Pele,Michael Owen,B,medium,Ta ni ?ni tó kéré jùl? tó gba àmì-??y? ní ìparí ìdíje àgbáyé?,Kylian Mbappe,Pele,Michael Owen,Wanene ?an wasa mafi ?an?anta da ya ci kwallo a wasan ?arshe na gasar cin kofin duniya?,Kylian Mbappe,Pele,Michael Owen,Ònye b? onye kacha nta n'ime nd? egwuregwu ga-agba b??l? n'as?mpi ikpeaz? nke iko mba ?wa?,Kylian Mbappe,Pele,Michael Owen
How many goals did Erling Haaland score on his Premier League debut?,1,2,3,B,medium,Àw?n góólù mélòó ni Erling Haaland gba ní ìgbà àk??k?? r?? ní Premier League?,1,2,3,Erling Haaland ya zura kwallaye nawa a wasansa na farko a gasar Premier?,1,2,3,Erling Haaland nyere goolu ole n'egwuregwu mb? ya na Premier League?,1,2,3
Which country hosted the 1958 FIFA World Cup?,Sweden,Chile,England,A,hard,Oríl??-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ?dún 1958?,Sweden,Chile,England,Wace ?asa ce ta kar?i ba?uncin gasar cin kofin duniya ta FIFA ta 1958?,Sweden,Chile,England,Ked? mba kwadoro iko mba ?wa nke FIFA nke af? 1958?,Sweden,Chile,England
Who scored a hat-trick in the 1999 Champions League final?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,A,hard,Ta ló gba àmì-??y? kan ní ìparí ìdíje Champions League ?dún 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,Wa ya ci kwallaye uku a wasan karshe na gasar zakarun Turai ta 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer,Ònye nyere hat-trick n'as?mpi ikpeaz? nke Champions League nke af? 1999?,No one scored a hat-trick,Teddy Sheringham,Ole Gunnar Solskjaer
Who managed Borussia Dortmund to their 2011 and 2012 titles?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,B,easy,Ta ló ?e à?ey?rí Borussia Dortmund láti gba àmì-??y? w?n ní ?dún 2011 àti 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,Wanene ya jagoranci Borussia Dortmund har ta lashe gasar zakarun Turai a shekarar 2011 da 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre,Ònye ji Borussia Dortmund nweta iko ha n'af? 2011 na 2012?,Thomas Tuchel,Jurgen Klopp,Lucien Favre
What is the home stadium of Aston Villa?,Villa Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Aston Villa wo ni?,Villa Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Aston Villa na gida?,Villa Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Aston Villa d??,Villa Park,Emirates Stadium,Stamford Bridge
How many Premier League titles did Chelsea win under Jose Mourinho?,2,3,4,B,medium,Àw?n oyè Premier League mélòó ni Chelsea gbà láb?? Jose Mourinho?,2,3,4,Kofin Premier nawa Chelsea ta lashe a lokacin Jose Mourinho?,2,3,4,Ked? iko Premier League ole ka Chelsea meriri n'oge Jose Mourinho?,2,3,4
Who scored the most goals in a single calendar year?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,B,medium,Ta ni o gba aw?n góòlù pup? jul? ni ?dun kan?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,Wa ya fi zura kwallaye a shekara guda?,Cristiano Ronaldo,Lionel Messi,Gerd Muller,Ònye nyere goolu kachas? n'otu af??,Cristiano Ronaldo,Lionel Messi,Gerd Muller
Which country did Samuel Eto'o represent internationally?,Nigeria,Senegal,Cameroon,C,easy,Oríl??-èdè wo ni Samuel Eto'o ?e a?ojú fún kárí ayé?,Nigeria,Senegal,Cameroon,Wace ?asa Samuel Eto'o ya wakilta a ?asashen duniya?,Nigeria,Senegal,Cameroon,Ked? mba Samuel Eto'o n?chitere anya ya n'?wa niile?,Nigeria,Senegal,Cameroon
What is the home stadium of Everton?,Goodison Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré wo ni Everton ? gbé?,Goodison Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Everton na gida?,Goodison Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Everton d??,Goodison Park,Emirates Stadium,Stamford Bridge
Who won the Golden Ball at the 2022 World Cup?,Kylian Mbappe,Lionel Messi,Luka Modric,B,easy,Ta ló gba Golden Ball ní World Cup 2022?,Kylian Mbappe,Lionel Messi,Luka Modric,Wa ya lashe kyautar Golden Ball a gasar cin kofin duniya ta 2022?,Kylian Mbappe,Lionel Messi,Luka Modric,Ònye meriri b??l? ?laedo na iko mba ?wa nke af? 2022?,Kylian Mbappe,Lionel Messi,Luka Modric
