questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Which team won the Bundesliga in 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,B,easy,Ẹgbẹ́ wo ló gba Bundesliga ní ọdún 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,Wace ƙungiya ce ta lashe gasar Bundesliga a shekarar 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig,Kedụ otu ndị meriri Bundesliga n'afọ 2022-23?,Borussia Dortmund,Bayern Munich,RB Leipzig
How many World Cups has Italy won?,3,4,5,B,medium,Àwọn ife-ẹyẹ àgbáyé mélòó ni Ítálì ti gbà?,3,4,5,Nawa ne gasar cin kofin duniya ta Italiya ta lashe?,3,4,5,Mba Itali emeriela iko mba ụwa ole?,3,4,5
Which country hosted the 1978 FIFA World Cup?,Argentina,Spain,Mexico,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ọdún 1978?,Argentina,Spain,Mexico,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1978?,Argentina,Spain,Mexico,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1978?,Argentina,Spain,Mexico
Which Premier League club is Paolo Di Canio most associated with?,West Ham,Chelsea,Arsenal,A,easy,Ẹgbẹ́ Premier League wo ni Paolo Di Canio ti ṣe àjọpọ̀ jùlọ pẹ̀lú?,West Ham,Chelsea,Arsenal,Wace ƙungiyar Premier League ce Paolo Di Canio ya fi sha'awarta?,West Ham,Chelsea,Arsenal,Kedụ otu egwuregwu Premier League kacha amasị Paolo Di Canio?,West Ham,Chelsea,Arsenal
Which country hosted the 1950 FIFA World Cup?,Brazil,Switzerland,Sweden,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1950?,Brazil,Switzerland,Sweden,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1950?,Brazil,Switzerland,Sweden,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1950?,Brazil,Switzerland,Sweden
Which country won the 2022 FIFA World Cup?,Argentina,France,Brazil,A,easy,Orílẹ̀-èdè wo ló gba ife-ẹ̀yẹ àgbáyé FIFA ti ọdún 2022?,Argentina,France,Brazil,Wace ƙasa ce ta lashe gasar cin kofin duniya ta FIFA ta 2022?,Argentina,France,Brazil,Kedụ mba meriri iko mba ụwa nke FIFA nke afọ 2022?,Argentina,France,Brazil
Who scored the winning goal in the 2011-12 title decider for Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure,B,easy,Ta ló gba góòlù tó gba àmì-ẹ̀yẹ náà ní ìdíje 2011-12 fún Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure,Wa ya ci wa Man City kwallon da ta lashe gasar 2011-12?,Carlos Tevez,Sergio Aguero,Yaya Toure,Ònye nyere goolu mmeri na 2011-12 maka Man City?,Carlos Tevez,Sergio Aguero,Yaya Toure
How many La Liga titles did Barcelona win under Pep Guardiola?,2,3,4,B,medium,Àwọn oyè La Liga mélòó ni Barcelona gbà lábẹ́ Pep Guardiola?,2,3,4,Kofin La Liga nawa Barcelona ta lashe a karkashin Pep Guardiola?,2,3,4,Kedụ iko La Liga ole ka Barcelona meriri n'oge Pep Guardiola?,2,3,4
Who scored the winning penalty in the 2022 World Cup final?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,B,medium,Ta ló gba ìjìyà tó jáwé olúborí ní ìparí ìdíje World Cup 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,Wa ya zura kwallon da ta yi nasara a wasan karshe na gasar cin kofin duniya ta 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe,Ònye nyere penariti mmeri na asọmpi ikpeazụ nke iko mba ụwa nke afọ 2022?,Lionel Messi,Gonzalo Montiel,Kylian Mbappe
Which country hosted the 1962 FIFA World Cup?,Chile,England,Mexico,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1962?,Chile,England,Mexico,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1962?,Chile,England,Mexico,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1962?,Chile,England,Mexico
